// Format: Greek words | English translation : hint
#Basics:
νόστιμο, ακριβό, είμαι εδώ, βρίσκομαι εκεί  | delicious. expensive. I'm here. I'm there.  : nostimo, akrivo, eimai edo, vriskomai ekei
πώς είναι ο καιρός σήμερα; ερώτηση· πάμε· δεν διαθέτω χρήματα· χαίρω πολύ  | how's the weather today? question. let's go. I have no money. nice to meet you.  : pos einai o kairos simera? erotisi· pame· den diatheto chrimata· chairo poly
χαίρω για τη γνωριμία  | nice to meet you  : chairo gia ti gnorimia
γεια σου, πώς πάει  | hello, how are you?  : geia sou, pos paei
κάποιος, κανείς, όλοι  | someone nobody everybody  : kapoios, kaneis, oloi

#Even more
είμαι καλά ευχαριστώ, κι εσύ;  | I'm fine thanks, and you?  : eimai kala efcharisto, ki esi?
με λένε Τζέιμς  | my name is James  : me lene Tzeims
δεν ξέρω πολύ τουρκικά  | I don't know much Turkish  : den ksero poly tourkika
αλλά θέλω να τα μάθω  | but I want to learn  : alla thelo na ta matho
μπορείς να βοηθήσεις;  | can you help me?  : boreis na voithiseis?
μαθαίνω τουρκικά  | I'm learning Turkish  : mathaino tourkika
δεν κατάλαβα· μπορείς να επαναλάβεις;  | I didn't understand, can you repeat?  : den katalava· boreis na epanalavis?
μπορείς να μιλάς πιο αργά;  | can you speak more slowly?  : boreis na milas pio arga?
από πού είσαι;  | where are you from?  : apo pou eisai?
έρχομαι από Αμερική  | I am from America  : erchomai apo Ameriki
τι σημαίνει αυτό;  | what does this mean?  : ti simainei afto?
σήμερα ο καιρός είναι καλός  | the weather is nice today  : simera o kairos einai kalos
χρειάζομαι βοήθεια  | I need help  : chreiazomai voitheia
πόσων ετών είσαι;  | how old are you?  : poson eton eisai?
τι δουλειά κάνεις;  | what do you do for work?  : ti doulia kaneis?
πεινάω, πάμε να φάμε  | I'm hungry, let's eat  : peinao, pame na fame
θέλω να πιω νερό  | I want to drink water  : thelo na pio nero
τι ώρα είναι;  | what time is it?  : ti ora einai?
είναι πολύ ακριβό, υπάρχει κάτι φθηνότερο;  | it's very expensive, is there something cheaper?  : einai poly akrivo, yparchei kati fthinotero?
πού μένεις;  | where do you live?  : pou meneis?
αντίο, τα λέμε αύριο  | goodbye, see you tomorrow  : antio, ta leme avrio
παρακαλώ ευχαριστώ  | please thank you  : parakalo efcharisto
παρακαλώ  | you're welcome  : parakalo
καφές τσάι γάλα ζάχαρη  | coffee tea milk sugar  : kafes tsai gala zachari
σήμερα αύριο χθες  | today tomorrow yesterday  : simera avrio chthes
πρωί μεσημέρι απόγευμα νύχτα  | morning noon evening night  : proi mesimeri apogevma nychta

#Useful
υπέροχο, θαυμάσιο, φανταστικό, απίστευτο, τέλειο, καταπληκτικό  | fabulous wonderful fantastic unbelievable perfect amazing  : yperoxo, thavmasio, fantastiko, apistefto, teleio, katapliktiko
μαθαίνω λίγο περισσότερο κάθε μέρα. τουλάχιστον όχι ακόμη. τι είναι αυτό;  | I learn a little more every day. at least not yet. what's that?  : mathaino ligo perissotero kathe mera. touleaston ochi akomi. ti einai afto?
λοιπόν, νέα φίλε! πώς πας; αλήθεια; τσέκαρες; κανένα πρόβλημα! λατρεύω!  | well mate, what's up? what are you doing? really? really! no problem. I loved it.  : loipon, nea file! pos pas? alitheia? tsekares? kanena provlima! latrevo!
τι ώρα κλείνεις; δεν σε αφορά. είσαι τρελός;  | what time you closed? none of your business! you crazy?  : ti ora kleinis? den se afora. eisai trelos?
πού μένεις; κοίτα με. από πού έρχεσαι; όλα καλά; περίμενε εδώ. τα λέμε  | where do you live? look at me. where are you from? all good? wait here. see you later.  : pou meneis? koita me. apo pou erchesai? ola kala? perimene edo. ta leme
μιλάς τουρκικά; μιλώ λίγο. αλλά θα ήθελα να μάθω  | do you speak Turkish? I speak a little. but I would like to learn.  : milas tourkika? milo ligo. alla tha ithela na matho
δεν καταλαβαίνω πολύ. μιλώ μόνο λίγο.  | I don't understand very much. I only speak a little.  : den katalavaino poly. milo mono ligo.
έχασες το μυαλό σου; δεν σε αφορά  | are you out of your mind? that is none of your business  : echases to myalo sou? den se afora
τι κάνεις σήμερα; πάμε  | what are you doing today? let's go  : ti kaneis simera? pame
τίποτα ιδιαίτερο. εσύ;  | not much. and you?  : tipota idiaitero. esi?
καλημέρα. εντάξει, πρέπει να φύγω. πάμε.  | good morning. okay, I have to go. let's go.  : kalimera. entaxi, prepei na figo. pame.

#Questions
γιατί έφυγες; τι έφαγες;  | why did you go? what did you eat?  : giati efyges? ti efages?
τι βρήκαμε; ποιον είδες;  | what did we find? who did you see?  : ti vrikame? poion eides?
πότε έφτασες;  | when did you arrive?  : pote eftases?
σε ποιο σημείο ήταν το αυτοκίνητο; πού θα πας; πώς ήταν ο καιρός;  | at what place was the car? where will you go? how was the weather?  : se poio simeio itan to aftokinito? pou tha pas? pos itan o kairos?
ποιος, γιατί, πότε, πού, τι, πώς  | who, why, when, where, what, how.  : poios, giati, pote, pou, ti, pos

#Colours and Numbers
κόκκινο, μπλε, πράσινο, κίτρινο  | red blue green yellow  : kokkino, ble, prasino, kitrino
πορτοκαλί, μοβ, ροζ, καφέ  | orange purple pink brown  : portokali, mov, roz, kafe
μαύρο, άσπρο, γκρι, μπεζ  | black white gray beige  : mavro, aspro, gkri, bez
χρυσό, ασημί, χαλκός, μπρονζέ  | gold silver copper bronze  : chryso, asimi, chalkos, bronze
ναυτικό, τιρκουάζ, γαλάζιο, βαθύ πράσινο  | navy turquoise light blue dark green  : naftiko, tirkouaz, galazio, vathy prasino

ένα, δύο, τρία, τέσσερα  | one two three four  : ena, dio, tria, tessera
πέντε, έξι, επτά, οκτώ  | five six seven eight  : pente, exi, epta, okto
εννέα, δέκα, έντεκα, δώδεκα  | nine ten eleven twelve  : ennea, deka, endeka, dodeka
είκοσι, τριάντα, σαράντα, πενήντα  | twenty thirty forty fifty  : eikosi, trianta, saranta, peninta
εκατό, χίλια, εκατομμύριο, δισεκατομμύριο  | hundred thousand million billion  : ekato, chilia, ekatommirio, disekatommirio
πενήντα, εξήντα, εβδομήντα, ογδόντα, ενενήντα  | fifty sixty seventy eighty ninety  : peninta, exinta, evdominta, ogdonta, eneninta
είκοσι ένα, τριάντα δύο, σαράντα τρία, πενήντα τέσσερα  | twenty-one thirty-two forty-three fifty-four  : eikosi ena, trianta dyo, saranta tria, peninta tessera
πενήντα δύο, εξήντα τρία, εβδομήντα εννιά, ογδόντα επτά, ενενήντα οκτώ  | fifty-two sixty-three seventy-nine eighty-seven ninety-eight  : peninta dyo, exinta tria, evdominta ennia, ogdonta efta, eneninta okto

#Verbs
πήγα στο σχολείο και είδα γάτα  | I went to school and saw a cat  : piga sto scholeio kai eida gata
τι έκανες χθες;  | what did you do yesterday?  : ti ekanes chthes?
πήγαμε στην πόλη και μετά φάγαμε  | we went to the city and then ate  : pigame stin poli kai meta fagame
μιλήσατε τουρκικά και όλοι κατάλαβαν  | you all spoke Turkish, and everyone understood  : milisate tourkika kai oloi katalavan
ήπιαν καφέ και δούλεψαν  | they drank coffee and worked  : ipian kafe kai doulepsan
σε είδα αλλά δεν με ήξερες  | I saw you, but you didn’t know me.  : se eida alla den me ixeres
τρώω τώρα  | I am eating now  : troo tora
διαβάζει βιβλίο κάθε μέρα  | He/she reads a book every day.  : diavazei vivlio kathe mera
θέλεις να μάθεις τουρκικά αλλά χρειάζεται εξάσκηση  | you want to learn Turkish, but you need to practice  : theleis na matheis tourkika alla chreiazetai exaskisi
πίνουμε καφέ και συζητάμε  | we are drinking coffee and talking.  : pinoume kafe kai sizitame
τι κάνετε;  | What are you all doing?  : ti kanete?
δεν καταλαβαίνουν το μάθημα  | They don’t understand the lesson.  : den katalavainoun to mathima
σ’ αγαπώ πολύ  | I love you so much.  : s' agapo poly
θα φάω αργότερα  | I will eat later.  : tha fao argotera
θα πας σχολείο αύριο;  | Will you go to school tomorrow?  : tha pas scholeio avrio?
σκοπεύει να αγοράσει δώρο και θα μας το δώσει  | He/she will buy the gift and give it to us.  : skopevei na agorasei doro kai tha mas to dosei
θα κάνουμε νέο έργο  | We will do a new project.  : tha kanoume neo ergo
μιλήστε τουρκικά και όλοι θα εντυπωσιαστούν  | You all will speak Turkish, and everyone will be impressed.  : miliste tourkika kai oloi tha entyposiastoun
θα επιστρέψουν σπίτι αύριο  | They will come home tomorrow.  : tha epistrepsoun spiti avrio

πάω, έρχομαι, κάνω, τρώω, πίνω - to go, to come, to do/make, to eat, to drink  : pao, erchomai, kano, troo, pino
βλέπω, ξέρω, μιλάω, αγαπώ, αγοράζω - to see, to know, to speak, to love, to buy  : vlepo, ksero, milao, agapo, agorazo
δίνω, εργάζομαι, καταλαβαίνω, θέλω, διαβάζω - to give, to work/study, to understand, to want, to read  : dino, ergazomai, katalavaino, thelo, diavazo

#Opposites
μεγάλος, μικρός, μακρύς, σύντομος  | big small long short  : megalos, mikros, makrys, syntomos
ζεστός, κρύος, γρήγορος, αργός  | hot cold fast slow  : zestos, kryos, grigoros, argos
καινούριος, παλιός, ψηλός, χαμηλός  | new old high low  : kainourios, palios, psilos, chamilos
ανοιχτός, κλειστός, βαρύς, ελαφρύς  | open closed heavy light  : anoichtos, kleistos, varys, elafrys
χαρούμενος, λυπημένος, σωστός, λάθος  | happy sad right wrong  : charoumenos, lypimenos, sostos, lathos
πάνω, κάτω, μέσα, έξω  | up down inside outside  : pano, kato, mesa, exo
καλός, κακός, εύκολος, δύσκολος  | good bad easy hard  : kalos, kakos, efkolos, dyskolos
δεξιά, αριστερά, μπροστά, πίσω  | right left front back  : deksia, aristera, brosta, piso
γεμάτος, άδειος, ακριβός, φτηνός  | full empty expensive cheap  : gematos, adeios, akrivos, ftinos
λίγο, πολύ, σκληρός, μαλακός  | little much hard soft  : ligo, poly, sklirós, malakós
νέος, γέρος, κοντινός, μακρινός  | young old near far  : neos, geros, kontinos, makrinos
καθαρός, βρώμικος, νωρίς, αργά  | clean dirty early late  : katharos, vromikos, noris, arga
παχύς, λεπτός, πλήρης, ελλιπής  | thick thin complete incomplete  : pachys, leptos, pliris, ellipis
φωτεινός, σκοτεινός, ήσυχος, θορυβώδης  | bright dark quiet noisy  : fotinos, skotinos, isyhos, thoryvodis
μεγάλος μικρός μακρύς σύντομος  | big small long short  : megalos mikros makrys syntomos
ζεστός κρύος νέος αρχαίος  | hot cold new old  : zestos kryos neos archaios
όμορφος άσχημος εύκολος δύσκολος  | beautiful ugly easy difficult  : omorfos ashimos efkolos dyskolos
πήγαινε δεξιά, μετά αριστερά, ίσια  | go right then left straight ahead  : pigene deksia, meta aristera, isia

#Learning Greek
πριν δύο εβδομάδες αποφάσισα να μάθω τουρκικά  | two weeks ago I decided to learn Turkish  : prin dyo evdomades apofasisa na matho tourkika
επειδή πήγα διακοπές στην Τουρκία  | because I went on a holiday to Turkey  : epeidi piga diakopes stin Tourkia
ξεκίνησα με τα εύκολα  | I started with the easy stuff  : xekinisa me ta eukola
πρέπει να εξασκούμαι αλλιώς θα τα ξεχάσω όλα  | I need to practice otherwise I will forget everything!  : prepei na exaskoumai allios tha ta xechaso ola
στην πραγματικότητα έχω ήδη ξεχάσει σχεδόν όλα  | in fact, I already forgot almost everything!  : stin pragmatikotita echo idi xechasei schedon ola

#Weather
σήμερα ο καιρός είναι υπέροχος. ο ουρανός μπλε. χωρίς σύννεφα.  | nice weather today. the sky is blue. no clouds.  : simera o kairos einai yperoxos. o ouranos ble. choris synnefa.
ηλιόλουστο. καθόλου αέρας. δεν βρέχει.  | sunny. no wind. it isn't raining.  : iliolousto. katholou aeras. den vrechei.
λαμπρός ήλιος. λίγος αέρας. ύστερα βροχή.  | bright sun. some wind. then rain.  : lampros ilios. ligos aeras. ystera vrochi.
ο καιρός ήταν καλός και καθόλου κακός  | weather was fine and not bad at all  : o kairos itan kalos kai katholou kakos
ο καιρός ήταν σχεδόν τέλειος  | the weather was nearly perfect  : o kairos itan schedon teleios
ήλιος σχεδόν κάθε μέρα, αλλά μία μέρα έβρεξε  | sunny almost every day, but one day it rained  : ilios schedon kathe mera, alla mia mera evrekse

#Time
μερικές φορές, πάντα, ποτέ, σπάνια, συχνά  | sometimes, always, never, seldom, often  : merikes fores, panta, pote, spania, sychna
τώρα, σήμερα, αύριο, χθες, την περασμένη εβδομάδα, τον επόμενο χρόνο, κάθε μέρα  | now, today, tomorrow, yesterday, last week, next year, every day  : tora, simera, avrio, chthes, tin perasmeni evdomada, ton epomeno chrono, kathe mera
επόμενη εβδομάδα, φέτος, προηγούμενος μήνας, πριν τρεις μέρες, Σαββατοκύριακο  | next week, this year, last month, three days ago, at the weekend  : epomeni evdomada, fetos, proigoumenos minas, prin treis meres, Savvatokyriako
