// Format: Greek (latin letters) | English translation  
#Small Talk:  
se poio simeio itan to aftokinito? pou tha pas? pos itan o kairos?  | at what place was the car? where will you go? how was the weather?  
poios, giati, pote, pou, ti, pos  | who, why, when, where, what, how.  

#Colours and Numbers  
kokkino, ble, prasino, kitrino  | red blue green yellow  
portokali, mov, roz, kafe  | orange purple pink brown  
mavro, aspro, gkri, bez  | black white gray beige  
chryso, asimi, chalkos, bronze  | gold silver copper bronze  
naftiko, tirkuaz, galazio, vathy prasino  | navy turquoise light blue dark green  

ena, dyo, tria, tessera  | one two three four  
pente, exi, efta, okto  | five six seven eight  
ennea, deka, enteka, dodeka  | nine ten eleven twelve  
eikosi, trianta, saranta, peninta  | twenty thirty forty fifty  
ekato, chilia, ekatommyrio, disekatommyrio  | hundred thousand million billion  
peninta, exinta, evdominta, ogdonta, eneninta  | fifty sixty seventy eighty ninety  
eikosi ena, trianta dyo, saranta tria, peninta tessera  | twenty-one thirty-two forty-three fifty-four  
peninta dyo, exinta tria, evdominta ennia, ogdonta efta, eneninta okto  | fifty-two sixty-three seventy-nine eighty-seven ninety-eight  

#Verbs  
piga sto scholeio kai eida gata  | I went to school and saw a cat  
ti ekanes chthes?  | what did you do yesterday?  
pigame stin poli kai meta fagame  | we went to the city and then ate  
milisate tourkika kai oloi katalavan  | you all spoke Turkish, and everyone understood  
epian kafe kai doulepsan  | they drank coffee and worked  
se eida alla den me ixeres  | I saw you, but you didn’t know me.  
troo tora  | I am eating now  
diavazei vivlio kathe mera  | He/she reads a book every day.  
theleis na matheis tourkika alla chreiazetai askisi  | you want to learn Turkish, but you need to practice  
pinoume kafe kai sizitame  | we are drinking coffee and talking.  
ti kanete?  | What are you all doing?  
den katalavainoun to mathima  | They don’t understand the lesson.  
s’ agapo poly  | I love you so much.  
tha fao argotera  | I will eat later.  
tha pas scholeio avrio?  | Will you go to school tomorrow?  
skopos na agorasei doro kai tha mas to dosei  | He/she will buy the gift and give it to us.  
tha kanoume neo ergo  | We will do a new project.  
miliste tourkika kai oloi tha entyposiastoun  | You all will speak Turkish, and everyone will be impressed.  
tha epistrepsoun spiti avrio  | They will come home tomorrow.  

pao, erchomai, kano, troo, pino - to go, to come, to do/make, to eat, to drink  
vlepo, ksero, milao, agapo, agorazo - to see, to know, to speak, to love, to buy  
dino, ergazomai, katalaveno, thelo, diavazo - to give, to work/study, to understand, to want, to read  

#Opposites  
megalos, mikros, makrys, syntomos  | big small long short  
zestos, kryos, grigoros, argos  | hot cold fast slow  
kainourios, palios, psilos, chamilos  | new old high low  
anoichtos, kleistos, varys, elafrys  | open closed heavy light  
charoumenos, lypimenos, sostos, lathos  | happy sad right wrong  
pano, kato, mesa, exo  | up down inside outside  
kalos, kakos, efkolos, dyskolos  | good bad easy hard  
dexia, aristera, brosta, piso  | right left front back  
gematos, adeios, akrivós, fthinos  | full empty expensive cheap  
ligo, poly, sklirós, malakos  | little much hard soft  
neos, geros, kontinos, makrinos  | young old near far  
katharos, vromikos, noris, arga  | clean dirty early late  
pachys, leptos, pliris, ellipis  | thick thin complete incomplete  
foteinos, skoteinos, isyhos, thorivodis  | bright dark quiet noisy  
megalos mikros makrys syntomos  | big
