// Format: Spanish words | English translation  
#Small Talk:  
feliz, triste, correcto, falso  | happy sad right wrong  
arriba, abajo, dentro, fuera  | up down inside outside  
bueno, malo, fácil, difícil  | good bad easy hard  
derecha, izquierda, delante, detrás  | right left front back  
lleno, vacío, caro, barato  | full empty expensive cheap  
poco, mucho, duro, blando  | little much hard soft  
joven, viejo, cercano, lejano  | young old near far  
limpio, sucio, temprano, tarde  | clean dirty early late  
grueso, delgado, completo, incompleto  | thick thin complete incomplete  
claro, oscuro, silencioso, ruidoso  | bright dark quiet noisy  
grande pequeño largo corto  | big small long short  
caliente frío nuevo antiguo  | hot cold new old  
bello feo fácil difícil  | beautiful ugly easy difficult  
ve hacia derecha, luego izquierda, recto  | go right then left straight ahead  

#Learning Spanish  
hace dos semanas decidí aprender turco  | two weeks ago I decided to learn Turkish  
porque fui de vacaciones a Turquía  | because I went on a holiday to Turkey  
empecé con lo fácil  | I started with the easy stuff  
tengo que practicar o lo olvidaré todo  | I need to practice otherwise I will forget everything!  
de hecho, ya olvidé casi todo  | in fact, I already forgot almost everything!  

#Weather  
hoy hace buen tiempo. el cielo está azul. sin nubes.  | nice weather today. the sky is blue. no clouds.  
soleado. sin viento. no llueve.  | sunny. no wind. it isn't raining.  
sol radiante. algo de viento. luego lluvia.  | bright sun. some wind. then rain.  
el tiempo era bueno y nada malo  | weather was fine and not bad at all  
el tiempo fue casi perfecto  | the weather was nearly perfect  
sol casi a diario, pero un día llovió  | sunny almost every day, but one day it rained  

#Time  
a veces, siempre, nunca, rara vez, frecuentemente  | sometimes, always, never, seldom, often  
ahora, hoy, mañana, ayer, la semana pasada, el próximo año, cada día  | now, today, tomorrow, yesterday, last week, next year, every day  
próxima semana, este año, mes pasado, hace tres días, fin de semana  | next week, this year, last month, three days ago, at the weekend  
