// Format: German words | English translation
#Small Talk:
zwanzig, dreißig, vierzig, fünfzig | twenty thirty forty fifty
hundert, tausend, million, milliarde | hundred thousand million billion
sechzig, siebzig, achtzig, neunzig | sixty seventy eighty ninety
einundzwanzig, zweiunddreißig, dreiundvierzig, vierundfünfzig | twenty-one thirty-two forty-three fifty-four
fünfundsechzig, sechsundsiebzig, siebenundachtzig, achtundneunzig | sixty-five seventy-six eighty-seven ninety-eight

#Verbs
Ich bin zur Schule gegangen und habe eine Katze gesehen | I went to school and saw a cat
Was hast du gestern gemacht | what did you do yesterday
Wir sind in die Stadt gegangen und dann wurde gegessen | we went to the city and then ate
Ihr habt Türkisch gesprochen und alle haben verstanden | you all spoke Turkish and everyone understood
Sie haben Kaffee getrunken und gearbeitet | they drank coffee and worked
Ich habe dich gesehen aber du kanntest mich nicht | I saw you but you didn’t know me
Ich esse jetzt | I am eating now
Er/Sie liest jeden Tag ein Buch | he/she reads a book every day
Du willst Türkisch lernen aber musst üben | you want to learn Turkish but need to practise
Wir trinken Kaffee und reden | we are drinking coffee and talking
Was macht ihr | what are you all doing
Sie verstehen die Lektion nicht | they don’t understand the lesson
Ich liebe dich sehr | I love you so much
Ich werde später essen | I will eat later
Wirst du morgen zur Schule gehen | will you go to school tomorrow
Er/Sie wird das Geschenk kaufen und es uns geben | he/she will buy the gift and give it to us
Wir werden ein neues Projekt machen | we will do a new project
Ihr werdet Türkisch sprechen und alle werden beeindruckt sein | you all will speak Turkish and everyone will be impressed
Sie werden morgen nach Hause kommen | they will come home tomorrow
gehen, kommen, machen, essen, trinken - to go to come to do/make to eat to drink
sehen, wissen, sprechen, lieben, kaufen - to see to know to speak to love to buy
geben, arbeiten, verstehen, wollen, lesen - to give to work/study to understand to want to read

#Opposites:
groß, klein, lang, kurz | big small long short
heiß, kalt, schnell, langsam | hot cold fast slow
neu, alt, hoch, niedrig | new old high low
offen, geschlossen, schwer, leicht | open closed heavy light
glücklich, traurig, richtig, falsch | happy sad right wrong
oben, unten, innen, außen | up down inside outside
gut, schlecht, einfach, schwer | good bad easy hard
rechts, links, vorne, hinten | right left front back
voll, leer, teuer, billig | full empty expensive cheap
wenig, viel, hart, weich | little much hard soft
jung, alt, nah, fern | young old near far
sauber, schmutzig, früh, spät | clean dirty early late
dick, dünn, vollständig, unvollständig | thick thin complete incomplete
hell, dunkel, leise, laut | bright dark quiet noisy
groß klein lang kurz | big small long short
heiß kalt neu alt | hot cold new old
schön hässlich leicht schwierig | beautiful ugly easy difficult
Geh nach rechts und dann links geradeaus | go right and then left straight ahead

#Learning German:
Vor zwei Wochen habe ich beschlossen, Türkisch zu lernen. | two weeks ago I decided to learn Turkish
Weil ich im Urlaub in die Türkei gefahren bin. | because I went on holiday to Turkey
Ich habe mit den einfachen Sachen angefangen. | I started with the easy stuff
Ich muss üben sonst vergesse alles | I need to practise otherwise I’ll forget everything
Eigentlich habe ich fast alles schon vergessen | in fact I’ve already forgotten almost everything

#Weather
Heute ist das Wetter schön! Der Himmel zeigt sich blau. Keine Wolken! | nice weather today the sky appears blue no clouds
sonnig. kein Wind. es regnet keineswegs. | sunny no wind absolutely no rain
Sonnig. Windig. Danach hat es geregnet. | sunny windy afterwards it rained
das Wetter war schön und gar nicht schlecht | weather was fine and not bad at all
Das Wetter war fast perfekt | the weather was nearly perfect
Fast täglich herrschte Sonnenschein, doch einmal hat geregnet | it was sunny almost every day but once it rained

#Time:
manchmal, immer, niemals, selten, häufig | sometimes always never seldom often
jetzt, heute, morgen, gestern, letzte Woche, nächstes Jahr, jeden Tag | now today tomorrow yesterday last week next year every day
nächste Woche, dieses Jahr, letzten Monat, vor drei Tagen, am Wochenende | next week this year last month three days ago at the weekend
