// Format: Greek words | English translation : hint
#Basics:
νόστιμο, ακριβό, είμαι εδώ, βρίσκομαι εκεί  | delicious. expensive. I'm here. I'm there.  : nostimo, akrivo, eimai edo, vriskomai ekei
πώς είναι ο καιρός σήμερα; ερώτηση· πάμε· δεν διαθέτω χρήματα· χαίρω πολύ  | how's the weather today? question. let's go. I have no money. nice to meet you.  : pos einai o kairos simera? erotisi· pame· den diatheto chrimata· chairo poly
χαίρω για τη γνωριμία  | nice to meet you  : chairo gia ti gnorimia
γεια σου, πώς πάει  | hello, how are you?  : geia sou, pos paei
κάποιος, κανείς, όλοι  | someone nobody everybody  : kapoios, kaneis, oloi

#Even more
είμαι καλά ευχαριστώ, κι εσύ;  | I'm fine thanks, and you?  : eimai kala efcharisto, ki esi?
με λένε Τζέιμς  | my name is James  : me lene Tzeims
δεν ξέρω πολύ τουρκικά  | I don't know much Turkish  : den ksero poly tourkika
αλλά θέλω να τα μάθω  | but I want to learn  : alla thelo na ta matho
μπορείς να βοηθήσεις;  | can you help me?  : boreis na voithiseis?
μαθαίνω τουρκικά  | I'm learning Turkish  : mathaino tourkika
δεν κατάλαβα· μπορείς να επαναλάβεις;  | I didn't understand, can you repeat?  : den katalava· boreis na epanalavis?
μπορείς να μιλάς πιο αργά;  | can you speak more slowly?  : boreis na milas pio arga?
από πού είσαι;  | where are you from?  : apo pou eisai?
έρχομαι από Αμερική  | I am from America  : erchomai apo Ameriki
τι σημαίνει αυτό;  | what does this mean?  : ti simainei afto?
σήμερα ο καιρός είναι καλός  | the weather is nice today  : simera o kairos einai kalos
χρειάζομαι βοήθεια  | I need help  : chreiazomai voitheia
πόσων ετών είσαι;  | how old are you?  : poson eton eisai?
τι δουλειά κάνεις;  | what do you do for work?  : ti doulia kaneis?
πεινάω, πάμε να φάμε  | I'm hungry, let's eat  : peinao, pame na fame
θέλω να πιω νερό  | I want to drink water  : thelo na pio nero
τι ώρα είναι;  | what time is it?  : ti ora einai?
είναι πολύ ακριβό, υπάρχει κάτι φθηνότερο;  | it's very expensive, is there something cheaper?  : einai poly akrivo, yparchei kati fthinotero?
πού μένεις;  | where do you live?  : pou meneis?
αντίο, τα λέμε αύριο  | goodbye, see you tomorrow  : antio, ta leme avrio
παρακαλώ ευχαριστώ  | please thank you  : parakalo efcharisto
παρακαλώ  | you're welcome  : parakalo
καφές τσάι γάλα ζάχαρη  | coffee tea milk sugar  : kafes tsai gala zachari
σήμερα αύριο χθες  | today tomorrow yesterday  : simera avrio chthes
πρωί μεσημέρι απόγευμα νύχτα  | morning noon evening night  : proi mesimeri apogevma nychta

#Useful
υπέροχο, θαυμάσιο, φανταστικό, απίστευτο, τέλειο, καταπληκτικό  | fabulous wonderful fantastic unbelievable perfect amazing  : yperoxo, thavmasio, fantastiko, apistefto, teleio, katapliktiko
μαθαίνω λίγο περισσότερο κάθε μέρα. τουλάχιστον όχι ακόμη. τι είναι αυτό;  | I learn a little more every day. at least not yet. what's that?  : mathaino ligo perissotero kathe mera. touleaston ochi akomi. ti einai afto?
λοιπόν, νέα φίλε! πώς πας; αλήθεια; τσέκαρες; κανένα πρόβλημα! λατρεύω!  | well mate, what's up? what are you doing? really? really! no problem. I loved it.  : loipon, nea file! pos pas? alitheia? tsekares? kanena provlima! latrevo!
τι ώρα κλείνεις; δεν σε αφορά. είσαι τρελός;  | what time you closed? none of your business! you crazy?  : ti ora kleinis? den se afora. eisai trelos?
πού μένεις; κοίτα με. από πού έρχεσαι; όλα καλά; περίμενε εδώ. τα λέμε  | where do you live? look at me. where are you from? all good? wait here. see you later.  : pou meneis? koita me. apo pou erchesai? ola kala? perimene edo. ta leme
μιλάς τουρκικά; μιλώ λίγο. αλλά θα ήθελα να μάθω  | do you speak Turkish? I speak a little. but I would like to learn.  : milas tourkika? milo ligo. alla tha ithela na matho
δεν καταλαβαίνω πολύ. μιλώ μόνο λίγο.  | I don't understand very much. I only speak a little.  : den katalavaino poly. milo mono ligo.
έχασες το μυαλό σου; δεν σε αφορά  | are you out of your mind? that is none of your business  : echases to myalo sou? den se afora
τι κάνεις σήμερα; πάμε  | what are you doing today? let's go  : ti kaneis simera? pame
τίποτα ιδιαίτερο. εσύ;  | not much. and you?  : tipota idiaitero. esi?
καλημέρα. εντάξει, πρέπει να φύγω. πάμε.  | good morning. okay, I have to go. let's go.  : kalimera. entaxi, prepei na figo. pame.

#Questions
γιατί έφυγες; τι έφαγες;  | why did you go? what did you eat?  : giati efyges? ti efages?
τι βρήκαμε; ποιον είδες;  | what did we find? who did you see?  : ti vrikame? poion eides?
πότε έφτασες;  | when did you arrive?  : pote eftases?
σε ποιο σημείο ήταν το αυτοκίνητο; πού θα πας; πώς ήταν ο καιρός;  | at what place was the car? where will you go? how was the weather?  : se poio simeio itan to aftokinito? pou tha pas? pos itan o kairos?
ποιος, γιατί, πότε, πού, τι, πώς  | who, why, when, where, what, how.  : poios, giati, pote, pou, ti, pos

#Colours and Numbers
κόκκινο, μπλε, πράσινο, κίτρινο  | red blue green yellow  : kokkino, ble, prasino, kitrino
πορτοκαλί, μοβ, ροζ, καφέ  | orange purple pink brown  : portokali, mov, roz, kafe
μαύρο, άσπρο, γκρι, μπεζ  | black white gray beige  : mavro, aspro, gkri, bez
χρυσό, ασημί, χαλκός, μπρονζέ  | gold silver copper bronze  : chryso, asimi, chalkos, bronze
ναυτικό, τιρκουάζ, γαλάζιο, βαθύ πράσινο  | navy turquoise light blue dark green  : naftiko, tirkouaz, galazio, vathy prasino

ένα, δύο, τρία, τέσσερα  | one two three four  : ena, dio, tria, tessera
πέντε, έξι, επτά, οκτώ  | five six seven eight  : pente, exi, epta, okto
εννέα, δέκα, έντεκα, δώδεκα  | nine ten eleven twelve  : ennea, deka, endeka, dodeka
είκοσι, τριάντα, σαράντα, πενήντα  | twenty thirty forty fifty  : eikosi, trianta, saranta, peninta
εκατό, χίλια, εκατομμύριο, δισεκατομμύριο  | hundred thousand million billion  : ekato, chilia, ekatommirio, disekatommirio
πενήντα, εξήντα, εβδομήντα, ογδόντα, ενενήντα  | fifty sixty seventy eighty ninety  : peninta, exinta, evdominta, ogdonta, eneninta
είκοσι ένα, τριάντα δύο, σαράντα τρία, πενήντα τέσσερα  | twenty-one thirty-two forty-three fifty-four  : eikosi ena, trianta dyo, saranta tria, peninta tessera
πενήντα δύο, εξήντα τρία, εβδομήντα εννιά, ογδόντα επτά, ενενήντα οκτώ  | fifty-two sixty-three seventy-nine eighty-seven ninety-eight  : peninta dyo, exinta tria, evdominta ennia, ogdonta efta, eneninta okto

#Verbs
πήγα στο σχολείο και είδα γάτα  | I went to school and saw a cat  : piga sto scholeio kai eida gata
τι έκανες χθες;  | what did you do yesterday?  : ti ekanes chthes?
πήγαμε στην πόλη και μετά φάγαμε  | we went to the city and then ate  : pigame stin poli kai meta fagame
μιλήσατε τουρκικά και όλοι κατάλαβαν  | you all spoke Turkish, and everyone understood  : milisate tourkika kai oloi katalavan
ήπιαν καφέ και δούλεψαν  | they drank coffee and worked  : ipian kafe kai doulepsan
σε είδα αλλά δεν με ήξερες  | I saw you, but you didn’t know me.  : se eida alla den me ixeres
τρώω τώρα  | I am eating now  : troo tora
διαβάζει βιβλίο κάθε μέρα  | He/she reads a book every day.  : diavazei vivlio kathe mera
θέλεις να μάθεις τουρκικά αλλά χρειάζεται εξάσκηση  | you want to learn Turkish, but you need to practice  : theleis na matheis tourkika alla chreiazetai exaskisi
πίνουμε καφέ και συζητάμε  | we are drinking coffee and talking.  : pinoume kafe kai sizitame
τι κάνετε;  | What are you all doing?  : ti kanete?
δεν καταλαβαίνουν το μάθημα  | They don’t understand the lesson.  : den katalavainoun to mathima
σ’ αγαπώ πολύ  | I love you so much.  : s' agapo poly
θα φάω αργότερα  | I will eat later.  : tha fao argotera
θα πας σχολείο αύριο;  | Will you go to school tomorrow?  : tha pas scholeio avrio?
σκοπεύει να αγοράσει δώρο και θα μας το δώσει  | He/she will buy the gift and give it to us.  : skopevei na agorasei doro kai tha mas to dosei
θα κάνουμε νέο έργο  | We will do a new project.  : tha kanoume neo ergo
μιλήστε τουρκικά και όλοι θα εντυπωσιαστούν  | You all will speak Turkish, and everyone will be impressed.  : miliste tourkika kai oloi tha entyposiastoun
θα επιστρέψουν σπίτι αύριο  | They will come home tomorrow.  : tha epistrepsoun spiti avrio

πάω, έρχομαι, κάνω, τρώω, πίνω - to go, to come, to do/make, to eat, to drink  : pao, erchomai, kano, troo, pino
βλέπω, ξέρω, μιλάω, αγαπώ, αγοράζω - to see, to know, to speak, to love, to buy  : vlepo, ksero, milao, agapo, agorazo
δίνω, εργάζομαι, καταλαβαίνω, θέλω, διαβάζω - to give, to work/study, to understand, to want, to read  : dino, ergazomai, katalavaino, thelo, diavazo

#Opposites
μεγάλος, μικρός, μακρύς, σύντομος  | big small long short  : megalos, mikros, makrys, syntomos
ζεστός, κρύος, γρήγορος, αργός  | hot cold fast slow  : zestos, kryos, grigoros, argos
καινούριος, παλιός, ψηλός, χαμηλός  | new old high low  : kainourios, palios, psilos, chamilos
ανοιχτός, κλειστός, βαρύς, ελαφρύς  | open closed heavy light  : anoichtos, kleistos, varys, elafrys
χαρούμενος, λυπημένος, σωστός, λάθος  | happy sad right wrong  : charoumenos, lypimenos, sostos, lathos
πάνω, κάτω, μέσα, έξω  | up down inside outside  : pano, kato, mesa, exo
καλός, κακός, εύκολος, δύσκολος  | good bad easy hard  : kalos, kakos, efkolos, dyskolos
δεξιά, αριστερά, μπροστά, πίσω  | right left front back  : deksia, aristera, brosta, piso
γεμάτος, άδειος, ακριβός, φτηνός  | full empty expensive cheap  : gematos, adeios, akrivos, ftinos
λίγο, πολύ, σκληρός, μαλακός  | little much hard soft  : ligo, poly, sklirós, malakós
νέος, γέρος, κοντινός, μακρινός  | young old near far  : neos, geros, kontinos, makrinos
καθαρός, βρώμικος, νωρίς, αργά  | clean dirty early late  : katharos, vromikos, noris, arga
παχύς, λεπτός, πλήρης, ελλιπής  | thick thin complete incomplete  : pachys, leptos, pliris, ellipis
φωτεινός, σκοτεινός, ήσυχος, θορυβώδης  | bright dark quiet noisy  : fotinos, skotinos, isyhos, thoryvodis
μεγάλος μικρός μακρύς σύντομος  | big small long short  : megalos mikros makrys syntomos
ζεστός κρύος νέος αρχαίος  | hot cold new old  : zestos kryos neos archaios
όμορφος άσχημος εύκολος δύσκολος  | beautiful ugly easy difficult  : omorfos ashimos efkolos dyskolos
πήγαινε δεξιά, μετά αριστερά, ίσια  | go right then left straight ahead  : pigene deksia, meta aristera, isia

#Learning Greek
πριν δύο εβδομάδες αποφάσισα να μάθω τουρκικά  | two weeks ago I decided to learn Turkish  : prin dyo evdomades apofasisa na matho tourkika
επειδή πήγα διακοπές στην Τουρκία  | because I went on a holiday to Turkey  : epeidi piga diakopes stin Tourkia
ξεκίνησα με τα εύκολα  | I started with the easy stuff  : xekinisa me ta eukola
πρέπει να εξασκούμαι αλλιώς θα τα ξεχάσω όλα  | I need to practice otherwise I will forget everything!  : prepei na exaskoumai allios tha ta xechaso ola
στην πραγματικότητα έχω ήδη ξεχάσει σχεδόν όλα  | in fact, I already forgot almost everything!  : stin pragmatikotita echo idi xechasei schedon ola

#Weather
σήμερα ο καιρός είναι υπέροχος. ο ουρανός μπλε. χωρίς σύννεφα.  | nice weather today. the sky is blue. no clouds.  : simera o kairos einai yperoxos. o ouranos ble. choris synnefa.
ηλιόλουστο. καθόλου αέρας. δεν βρέχει.  | sunny. no wind. it isn't raining.  : iliolousto. katholou aeras. den vrechei.
λαμπρός ήλιος. λίγος αέρας. ύστερα βροχή.  | bright sun. some wind. then rain.  : lampros ilios. ligos aeras. ystera vrochi.
ο καιρός ήταν καλός και καθόλου κακός  | weather was fine and not bad at all  : o kairos itan kalos kai katholou kakos
ο καιρός ήταν σχεδόν τέλειος  | the weather was nearly perfect  : o kairos itan schedon teleios
ήλιος σχεδόν κάθε μέρα, αλλά μία μέρα έβρεξε  | sunny almost every day, but one day it rained  : ilios schedon kathe mera, alla mia mera evrekse

#Time
μερικές φορές, πάντα, ποτέ, σπάνια, συχνά  | sometimes, always, never, seldom, often  : merikes fores, panta, pote, spania, sychna
τώρα, σήμερα, αύριο, χθες, την περασμένη εβδομάδα, τον επόμενο χρόνο, κάθε μέρα  | now, today, tomorrow, yesterday, last week, next year, every day  : tora, simera, avrio, chthes, tin perasmeni evdomada, ton epomeno chrono, kathe mera
επόμενη εβδομάδα, φέτος, προηγούμενος μήνας, πριν τρεις μέρες, Σαββατοκύριακο  | next week, this year, last month, three days ago, at the weekend  : epomeni evdomada, fetos, proigoumenos minas, prin treis meres, Savvatokyriako

```text
#Greetings:

Καλημέρα! Πώς είσαι σήμερα; | Good morning! How are you today? : kaliméra! pós íse símera?
Καλημέρα σας! Θέλετε κάτι να πιείτε; | Good morning! Would you like something to drink? : kaliméra sas! thélete káti na piíte?
Γεια σου, τι κάνεις; | Hello, how are you? : geiá sou, ti kánis?
Γεια σου, χαίρομαι που σε βλέπω! | Nice to see you! : geiá sou, chéerome pou se vlépo!

#Thanks & Apologies:

Ευχαριστώ πολύ. | Thank you very much. : efcharistó polí
Όχι, ευχαριστώ. | No, thank you. : óchi, efcharistó
Ένα νερό, παρακαλώ. | One water, please. : éna neró, parakaló
Ευχαριστώ. Παρακαλώ. | Thank you. You’re welcome. : efcharistó. parakaló
Συγγνώμη, πού είναι η στάση; | Excuse me, where is the bus stop? : signómi, poú íne i stási?
Συγγνώμη για την καθυστέρηση. | Sorry for the delay. : signómi gia tin kathistérisi

#Yes, No & Prices:

Ναι, μπορώ. | Yes, I can. : ne, boró
Ναι, θέλω. | Yes, I want. : ne, thélo
Όχι, δεν γίνεται. | No, it’s not possible. : óchi, den gínete
Πόσο κάνει αυτό; | How much is this? : póso káni aftó?
Πόσο κάνει ο καφές; | How much is the coffee? : póso káni o kafés?

#Everyday Questions:

Τι κάνεις σήμερα; | How are you / what are you doing today? : ti kánis símera?
Τι κάνεις εκεί; | What are you doing there? : ti kánis ekí?
Είμαι καλά. | I’m good/fine. : íme kalá
Είμαι πολύ καλά, ευχαριστώ. | I’m very well, thank you. : íme polí kalá, efcharistó
Πού είναι η στάση; | Where is the stop? : poú íne i stási?
Πού είναι το σούπερ μάρκετ; | Where is the supermarket? : poú íne to súper márket?

#Wants & Understanding:

Θέλω έναν καφέ. | I want a coffee. : thélo énan kafé
Θέλω νερό. | I want water. : thélo neró
Μπορώ να μπω; | Can I enter? : boró na bo?
Μπορώ να πληρώσω; | Can I pay? : boró na pliróso?
Μπορώ να έρθω. | I can come. : boró na értho
Δεν καταλαβαίνω. | I don’t understand. : den katalavéno
Δεν καταλαβαίνω ελληνικά. | I don’t understand Greek. : den katalavéno elliniká
Δεν καταλαβαίνω τι λες. | I don’t understand what you’re saying. : den katalavéno ti les
Μιλάτε αγγλικά; | Do you speak English? : miláte angliká?
Μιλάς ελληνικά; | Do you speak Greek? : milás elliniká?
Συγγνώμη, μιλάτε αγγλικά; | Excuse me, do you speak English? : signómi, miláte angliká?
Θέλω να ρωτήσω κάτι. | I want to ask something. : thélo na rotíso káti
Δεν μιλάω καλά ελληνικά. | I don’t speak Greek well. : den miláo kalá elliniká

#Reactions & Waiting:

Τέλεια, πάμε! | Perfect, let’s go! : télia, páme!
Ωραία ιδέα. | Great idea. : oréa idéa
Ωραία, συμφωνώ. | Nice/great, I agree. : oréa, simfonó
Ωραία μέρα. | Nice day. : oréa méra
Ωραία, ευχαριστώ. | Nice, thanks. : oréa, efcharistó
Ένα λεπτό. | One moment / one minute. : éna leptó
Ένα λεπτό, παρακαλώ. | One moment, please. : éna leptó, parakaló
Περίμενε ένα λεπτό. | Wait one minute. : perímene éna leptó

#Food & Movement:

Πεινάω πολύ. | I’m very hungry. : pináo polí
Πεινάω. Πάμε να φάμε; | I’m hungry. Shall we go eat? : pináo. páme na fáme?
Διψάω. Έχετε νερό; | I’m thirsty. Do you have water? : dipsáo. échete neró?
Διψάω πολύ σήμερα. | I’m very thirsty today. : dipsáo polí símera
Πάμε βόλτα; | Shall we go for a walk? : páme vólta?
Πάμε τώρα. | Let’s go now. : páme tóra
Έλα εδώ. | Come here. : éla edó
Έλα, ξεκινάμε. | Come on, we’re starting. : éla, xekináme
Περίμενε εδώ. | Wait here. : perímene edó
Περίμενε έξω. | Wait outside. : perímene éxo

#Time:

Ξέρω. | I know. : xéro
Ξέρω την απάντηση. | I know the answer. : xéro tin apántisi
Δεν ξέρω. | I don’t know. : den xéro
Δεν ξέρω πού είναι. | I don’t know where it is. : den xéro poú íne
Τι ώρα είναι; | What time is it? : ti óra íne?
Τι ώρα είναι τώρα; | What time is it now? : ti óra íne tóra?
Ξέρεις τι ώρα είναι; | Do you know what time it is? : xéris ti óra íne?
Πότε φεύγουμε; | When are we leaving? : póte févgoume?
Πότε ανοίγει; | When does it open? : póte anígi?
Ξέρετε πότε ανοίγει; | Do you know when it opens? : xérete póte anígi?
Ξέρετε τι ώρα ανοίγει το φαρμακείο; | Do you know what time the pharmacy opens? : xérete ti óra anígi to farmakío?
Τι ώρα ανοίγει το περίπτερο; | What time does the kiosk open? : ti óra anígi to períptero?

#Questions:

Γιατί; | Why? / Because. : giatí?
Γιατί αργείς; | Why are you late? : giatí argís?
Γιατί δεν έρχεσαι; | Why aren’t you coming? : giatí den érchese?
Γιατί το έκανες αυτό; | Why did you do that? : giatí to ékanes aftó?
Ποιος είναι; | Who is it? : piós íne?
Ποιος μίλησε; | Who spoke? : piós mílise?
Τι είπες; | What did you say? : ti ípes?
Τι θα κάνεις αύριο; | What will you do tomorrow? : ti tha kánis ávrio?
Πάω να δω. | I’ll go check/see. : páo na do

#Meeting & Leaving:

Χάρηκα. | Nice to meet you. : chárika
Γεια σου. Χάρηκα. | Hello. Nice to meet you. : geiá sou. chárika
Χάρηκα πολύ. | Very nice to meet you. : chárika polí
Χαίρομαι πολύ που γνωριζόμαστε. | I’m very happy to meet you. : chéerome polí pou gnorizómaste
Καλώς ήρθες. | Welcome. : kalós írthes
Καλώς ήρθες στο σπίτι. | Welcome home. : kalós írthes sto spíti
Καλώς ήρθες στην Ελλάδα. | Welcome to Greece. : kalós írthes stin Elláda
Φεύγω. | I’m leaving. : févgo
Φεύγω τώρα. | I’m leaving now. : févgo tóra
Φεύγω για τη δουλειά. | I’m leaving for work. : févgo gia ti douliá

#Preferences:

Έλαβα το email. | I received the email. : élava to email
Έλαβα το μήνυμά σου. | I got your message. : élava to mínímá sou
Θέλεις καφέ; | Do you want coffee? : thélis kafé?
Θέλεις να πάμε; | Do you want to go? : thélis na páme?
Μου αρέσει αυτό. | I like this. : mou arési aftó
Μου αρέσει η Ελλάδα. | I like Greece. : mou arési i Elláda
Δεν μου αρέσει αυτό. | I don’t like this. : den mou arési aftó
Δεν μου αρέσει ο καπνός. | I don’t like smoke. : den mou arési o kapnós
Πόσο συχνά πηγαίνεις; | How often do you go? : póso sichná pigénis?
Πόσο συχνά ταξιδεύεις; | How often do you travel? : póso sichná taxidévis?
Εντάξει, συμφωνώ. | Okay, I agree. : endáxi, simfonó
Εντάξει, πάμε. | Okay, let’s go. : endáxi, páme

#Core Verbs:

Είμαι πολύ χαρούμενος. | I am very happy. : íme polí charoúmenos
Είμαι πολύ χαρούμενη. | I am very happy. : íme polí charoúmeni
Χθες ήμουν κουρασμένος. | Yesterday I was tired. : chthes ímoun kourasménos
Χθες ήμουν κουρασμένη. | Yesterday I was tired. : chthes ímoun kourasméni
Αύριο θα είμαι σπίτι. | Tomorrow I will be home. : ávrio tha íme spíti
Χθες ήθελα να βγω. | Yesterday I wanted to go out. : chthes íthela na vgo
Αύριο θα θέλω περισσότερο χρόνο. | Tomorrow I will want more time. : ávrio tha thélo perissótero chróno
Πάω βόλτα κάθε μέρα. | I go for a walk every day. : páo vólta káthe méra
Χθες πήγα στο γυμναστήριο. | Yesterday I went to the gym. : chthes píga sto gymnastírio
Αύριο θα πάω στο κέντρο. | Tomorrow I will go downtown/to the center. : ávrio tha páo sto kéndro
Έχω πολλή δουλειά. | I have a lot of work. : écho pollí douliá
Χθες είχα μία συνάντηση. | Yesterday I had a meeting. : chthes ícha mía sinándisi
Αύριο θα έχω χρόνο. | Tomorrow I will have time. : ávrio tha écho chróno

#Eating & Speaking:

Κάνω γυμναστική κάθε μέρα. | I exercise every day. : káno gymnastikí káthe méra
Κάνω γυμναστική κάθε εβδομάδα. | I exercise every week. : káno gymnastikí káthe evdomáda
Χθες έκανα δουλειές στο σπίτι. | Yesterday I did chores at home. : chthes ékana douliés sto spíti
Αύριο θα κάνω βίντεο. | Tomorrow I will make a video. : ávrio tha káno vínteo
Τρώω πρωινό κάθε μέρα. | I eat breakfast every day. : tróo proinó káthe méra
Χθες έφαγα πίτσα. | Yesterday I ate pizza. : chthes éfaga pítsa
Αύριο θα φάω έξω. | Tomorrow I will eat out. : ávrio tha fáo éxo
Πίνω καφέ κάθε πρωί. | I drink coffee every morning. : píno kafé káthe proí
Χθες ήπια πολύ νερό. | Yesterday I drank a lot of water. : chthes ípia polí neró
Αύριο θα πιω τσάι. | Tomorrow I will drink tea. : ávrio tha pio tsái
Μιλάω ελληνικά λίγο. | I speak Greek a little. : miláo elliniká lígo
Χθες μίλησα με τον φίλο μου. | Yesterday I spoke with my friend. : chthes mílisa me ton fílo mou
Αύριο θα μιλήσω με τον δάσκαλο. | Tomorrow I will speak with the teacher. : ávrio tha milíso me ton dáskalo

#Work & Study:

Βλέπω τηλεόραση το βράδυ. | I watch TV at night. : vlépo tileórasi to vrádi
Χθες είδα μια ταινία. | Yesterday I saw a movie. : chthes ída mia tenía
Αύριο θα δω τους φίλους μου. | Tomorrow I will see my friends. : ávrio tha do tous fílous mou
Δουλεύω από το πρωί. | I’ve been working since the morning. : doulévo apó to proí
Χθες δούλεψα έξι ώρες. | Yesterday I worked for six hours. : chthes doúlepsa éxi óres
Αύριο θα δουλέψω στο γραφείο. | Tomorrow I will work at the office. : ávrio tha doulépso sto grafío
Διαβάζω κάθε βράδυ. | I read/study every night. : diavázo káthe vrádi
Χθες διάβασα δύο ώρες. | Yesterday I studied/read for two hours. : chthes diávasá dío óres
Αύριο θα διαβάσω περισσότερο. | Tomorrow I will study/read more. : ávrio tha diaváso perissótero
Μένω στην Αθήνα. | I live in Athens. : méno stin Athína
Χθες έμεινα σπίτι. | Yesterday I stayed home. : chthes émina spíti
Αύριο θα μείνω στο ξενοδοχείο. | Tomorrow I will stay at the hotel. : ávrio tha míno sto xenodochío

#Ability & Obligation:

Φέρνω δώρα στους φίλους μου. | I bring gifts to my friends. : férno dóra stous fílous mou
Χθες έφερα τα χαρτιά. | Yesterday I brought the papers. : chthes éfera ta chartiá
Αύριο θα φέρω το βιβλίο. | Tomorrow I will bring the book. : ávrio tha féro to vivlío
Δίνω συμβουλές στους μαθητές μου. | I give advice to my students. : díno simvoulés stous mathités mou
Χθες έδωσα ένα δώρο. | Yesterday I gave a gift. : chthes édosa éna dóro
Αύριο θα δώσω εξετάσεις. | Tomorrow I will take exams. : ávrio tha dóso exetásis
Μπορώ να βοηθήσω. | I can help. : boró na voithíso
Χθες μπόρεσα να τελειώσω τη δουλειά. | Yesterday I managed to finish the work. : chthes bóresa na telióso ti douliá
Αύριο θα μπορέσω να έρθω. | Tomorrow I’ll be able to come. : ávrio tha boréso na értho
Πρέπει να φύγω τώρα. | I must leave now. : prépi na fígo tóra
Χθες έπρεπε να διαβάσω. | Yesterday I had to study. : chthes éprepe na diaváso
Αύριο θα πρέπει να δουλέψω. | Tomorrow I will have to work. : ávrio tha prépi na doulépso

#Daily Routine:

