// Format: Italian words | English translation
#Small Talk:
ventuno, trentadue, quarantatré, cinquantaquattro | twenty-one thirty-two forty-three fifty-four
sessantacinque, settantasei, ottantasette, novantotto | sixty-five seventy-six eighty-seven ninety-eight

#Verbs
sono andato a scuola e ho visto un gatto | I went to school and saw a cat
che cosa hai fatto ieri | what did you do yesterday?
siamo andati in città e poi abbiamo mangiato | we went to the city and then ate food
avete parlato turco e tutti hanno capito | You all spoke Turkish, and everyone understood
hanno bevuto caffè e lavorato | They drank coffee and worked
ti ho visto ma non mi conoscevi | I saw you, but you didn’t know me.
sto mangiando adesso | I am eating now
lui/lei legge un libro ogni giorno | He/she reads a book every day.
vuoi imparare il turco ma devi esercitarti | You want to learn Turkish, but you need to practice
beviamo caffè e parliamo | We are drinking coffee and talking.
cosa fate | What are you all doing?
non capiscono la lezione | They don’t understand the lesson.
ti amo molto | I love you so much.
mangerò più tardi | I will eat later.
andrai a scuola domani | Will you go to school tomorrow?
comprerà il regalo e ce lo darà | He/she will buy the gift and give it to us.
faremo un nuovo progetto | We will do a new project.
parlerete turco e tutti saranno impressionati | You all will speak Turkish, and everyone will be impressed.
torneranno a casa domani | They will come home tomorrow.
andare, venire, fare, mangiare, bere - To go, to come, to do/make, to eat, to drink
vedere, sapere, parlare, amare, comprare - To see, to know, to speak, to love, to buy
dare, lavorare, capire, volere, leggere - To give, to work/study, to understand, to want, to read

#Opposites:
grande, piccolo, lungo, corto | big small long short
caldo, freddo, veloce, lento | hot cold fast slow
nuovo, vecchio, alto, basso | new old high low
aperto, chiuso, pesante, leggero | open closed heavy light
felice, triste, giusto, sbagliato | happy sad right wrong
sopra, sotto, dentro, fuori | up down inside outside
buono, cattivo, facile, difficile | good bad easy hard
destra, sinistra, davanti, dietro | right left front back
pieno, vuoto, caro, economico | full empty expensive cheap
poco, molto, duro, morbido | little much hard soft
giovane, vecchio, vicino, lontano | young old near far
pulito, sporco, presto, tardi | clean dirty early late
spesso, sottile, completo, incompleto | thick thin complete incomplete
chiaro, scuro, silenzioso, rumoroso | bright dark quiet noisy
grande piccolo lungo corto | Big small long short
caldo freddo nuovo antico | Hot cold new old
bello brutto facile difficile | Beautiful ugly easy difficult
vai a destra poi sinistra dritto | Go right left straight

#Learning Italian:
due settimane fa ho deciso di imparare il turco | 2 weeks ago I decided to learn Turkish.
perché sono andato in vacanza in Turchia | Because I went on a holiday to Turkey.
ho iniziato con le cose facili | I started with the easy stuff
devo esercitarmi altrimenti dimenticherò tutto | I need to practice otherwise I will forget everything!
in realtà ho già dimenticato quasi tutto | In fact, I already forgot almost everything!

#Weather
oggi il tempo è bello! il cielo è blu. niente nuvole! | Nice weather today! the sky is blue. No clouds!
soleggiato. niente vento. non piove. | Its sunny. Its not windy. Its not raining.
era soleggiato. c'era vento. ha piovuto. | it was sunny. it was windy. it rained.
il tempo era bello e per niente brutto | weather was fine and not bad at all
il tempo era quasi perfetto | The weather was nearly perfect
faceva sole quasi ogni giorno ma un giorno ha piovuto | it was sunny nearly every day but one day it rained

#Time:
a volte, sempre, mai, raramente, spesso | sometimes, always, never, seldom, often
adesso, oggi, domani, ieri, la settimana scorsa, l'anno prossimo, ogni giorno | now, today, tomorrow, yesterday, last week, next year, every day
la prossima settimana, quest'anno, il mese scorso, tre giorni fa, nel weekend | next week, this year, last month, three days ago, at the weekend
