// Format: French words | English translation  
#Small Talk:  
donner, travailler, comprendre, vouloir, lire - To give, to work/study, to understand, to want, to read  

#Opposites  
grand, petit, long, court  | big small long short  
chaud, froid, rapide, lent  | hot cold fast slow  
neuf, vieux, haut, bas  | new old high low  
ouvert, fermé, lourd, léger  | open closed heavy light  
heureux, triste, juste, faux  | happy sad right wrong  
en haut, au-dessous, dedans, dehors  | up below inside outside  
bon, mauvais, facile, difficile  | good bad easy hard  
droite, gauche, devant, derrière  | right left front back  
plein, vide, cher, bon marché  | full empty expensive cheap  
peu, beaucoup, dur, mou  | little much hard soft  
jeune, vieux, proche, loin  | young old near far  
propre, sale, tôt, tard  | clean dirty early late  
épais, mince, complet, incomplet  | thick thin complete incomplete  
clair, sombre, silencieux, bruyant  | bright dark quiet noisy  
grand petit long court  | Big small long short  
chaud froid nouveau ancien  | Hot cold new old  
beau laid facile difficile  | Beautiful ugly easy difficult  
va vers la droite, puis gauche, tout droit  | Go to the right, then left, straight ahead  

#Learning French  
il y a deux semaines, j’ai décidé d’apprendre le turc.  | 2 weeks ago I decided to learn Turkish.  
parce que je suis allé passer des vacances en Turquie.  | Because I went to spend a holiday in Turkey.  
j’ai commencé par les choses faciles.  | I started with the easy stuff  
je dois pratiquer sinon j’oublierai tout  | I need to practice otherwise I will forget everything!  
en fait, j’ai déjà presque tout oublié  | In fact, I already forgot almost everything!  

#Weather  
il fait beau aujourd’hui ! le ciel est bleu. pas de nuages !  | Nice weather today! the sky is blue. No clouds!  
ensoleillé. aucun vent. il ne pleut pas.  | Sunny. No wind. It isn't raining.  
soleil radieux. présence de vent. puis la pluie.  | Bright sun. Some wind. Then rain.  
le temps était beau et pas du tout mauvais  | weather was fine and not bad at all  
le temps était presque parfait  | The weather was nearly perfect  
soleil presque tous les jours, mais un jour la pluie est tombée  | Sunny almost every day, but one day it rained  

#Time  
parfois, toujours, jamais, rarement, souvent  | sometimes, always, never, seldom, often  
maintenant, aujourd’hui, demain, hier, la semaine dernière, l’année prochaine, tous les jours  | now, today, tomorrow, yesterday, last week, next year, every day  
la semaine prochaine, cette année, mois précédent, il y a trois jours, le week-end  | next week, this year, last month, three days ago, at the weekend  
