// Format: German words | English translation
#Small Talk:
einundzwanzig, zweiunddreißig, dreiundvierzig, vierundfünfzig | twenty-one thirty-two forty-three fifty-four
fünfundsechzig, sechsundsiebzig, siebenundachtzig, achtundneunzig | sixty-five seventy-six eighty-seven ninety-eight

#Verbs
Ich bin zur Schule gegangen und habe eine Katze gesehen | I went to school and saw a cat
Was hast du gestern gemacht | what did you do yesterday?
Wir sind in die Stadt gegangen und dann haben wir gegessen | we went to the city and then ate food
Ihr habt Türkisch gesprochen und alle haben verstanden | You all spoke Turkish, and everyone understood
Sie haben Kaffee getrunken und gearbeitet | They drank coffee and worked
Ich habe dich gesehen aber du kanntest mich nicht | I saw you, but you didn’t know me.
Ich esse jetzt | I am eating now
Er/Sie liest jeden Tag ein Buch | He/she reads a book every day.
Du willst Türkisch lernen aber du musst üben | You want to learn Turkish, but you need to practice
Wir trinken Kaffee und reden | We are drinking coffee and talking.
Was macht ihr | What are you all doing?
Sie verstehen die Lektion nicht | They don’t understand the lesson.
Ich liebe dich sehr | I love you so much.
Ich werde später essen | I will eat later.
Wirst du morgen zur Schule gehen | Will you go to school tomorrow?
Er/Sie wird das Geschenk kaufen und es uns geben | He/she will buy the gift and give it to us.
Wir werden ein neues Projekt machen | We will do a new project.
Ihr werdet Türkisch sprechen und alle werden beeindruckt sein | You all will speak Turkish, and everyone will be impressed.
Sie werden morgen nach Hause kommen | They will come home tomorrow.
gehen, kommen, machen, essen, trinken - To go, to come, to do/make, to eat, to drink
sehen, wissen, sprechen, lieben, kaufen - To see, to know, to speak, to love, to buy
geben, arbeiten, verstehen, wollen, lesen - To give, to work/study, to understand, to want, to read

#Opposites:
groß, klein, lang, kurz | big small long short
heiß, kalt, schnell, langsam | hot cold fast slow
neu, alt, hoch, niedrig | new old high low
offen, geschlossen, schwer, leicht | open closed heavy light
glücklich, traurig, richtig, falsch | happy sad right wrong
oben, unten, innen, außen | up down inside outside
gut, schlecht, einfach, schwer | good bad easy hard
rechts, links, vorne, hinten | right left front back
voll, leer, teuer, billig | full empty expensive cheap
wenig, viel, hart, weich | little much hard soft
jung, alt, nah, fern | young old near far
sauber, schmutzig, früh, spät | clean dirty early late
dick, dünn, vollständig, unvollständig | thick thin complete incomplete
hell, dunkel, leise, laut | bright dark quiet noisy
groß klein lang kurz | Big small long short
heiß kalt neu alt | Hot cold new old
schön hässlich leicht schwierig | Beautiful ugly easy difficult
Geh nach rechts nach links geradeaus | Go right left straight

#Learning German:
Vor zwei Wochen habe ich beschlossen, Türkisch zu lernen. | 2 weeks ago I decided to learn Turkish.
Weil ich im Urlaub in die Türkei gefahren bin. | Because I went on a holiday to Turkey.
Ich habe mit den einfachen Sachen angefangen. | I started with the easy stuff
Ich muss üben sonst vergesse ich alles | I need to practice otherwise I will forget everything!
Eigentlich habe ich fast alles schon vergessen | In fact, I already forgot almost everything!

#Weather
Heute ist das Wetter schön! Der Himmel ist blau. Keine Wolken! | Nice weather today! the sky is blue. No clouds!
sonnig. nicht windig. es regnet nicht. | Its sunny. Its not windy. Its not raining.
es war sonnig. es war windig. es hat geregnet. | it was sunny. it was windy. it rained.
das Wetter war schön und gar nicht schlecht | weather was fine and not bad at all
Das Wetter war fast perfekt | The weather was nearly perfect
Es war fast jeden Tag sonnig aber an einem Tag hat es geregnet | it was sunny nearly every day but one day it rained

#Time:
manchmal, immer, niemals, selten, häufig | sometimes, always, never, seldom, often
jetzt, heute, morgen, gestern, letzte Woche, nächstes Jahr, jeden Tag | now, today, tomorrow, yesterday, last week, next year, every day
nächste Woche, dieses Jahr, letzten Monat, vor drei Tagen, am Wochenende | next week, this year, last month, three days ago, at the weekend

